Benchmark Problem,Paradigm,Description,Precision,Hardware,Problem Size,Iterations,Wall Clock Time,CPU Time,Kernel Time,Neighbor Search Time,Position Update Time,Velocity Update Time,Force Update Time,Time Unit
MatrixMultiplication,OpenACC,,32,NVIDIA RTX5080,32.0,31702.0,21740.160715436035,21739.188726263328,21337.00668727525,,,,,ns
MatrixMultiplication,OpenACC,,32,NVIDIA RTX5080,64.0,25037.0,27833.93861083719,27831.33302711986,26478.038822542636,,,,,ns
MatrixMultiplication,OpenACC,,32,NVIDIA RTX5080,128.0,13209.0,52829.63744417832,52815.6440305852,47125.534029828144,,,,,ns
MatrixMultiplication,OpenACC,,32,NVIDIA RTX5080,256.0,6778.0,103304.81690766585,103302.26453231044,89287.36470935379,,,,,ns
MatrixMultiplication,OpenACC,,32,NVIDIA RTX5080,512.0,1486.0,472437.2220728192,472331.99999999977,407447.67563930014,,,,,ns
MatrixMultiplication,OpenACC,,32,NVIDIA RTX5080,1024.0,192.0,3595137.536455203,3594565.6666666646,1867676.6770833333,,,,,ns
MatrixMultiplication,OpenACC,,32,NVIDIA RTX5080,2048.0,35.0,19485252.99999996,19481920.142857134,11329298.057142857,,,,,ns
MatrixMultiplication,OpenACC,,32,NVIDIA RTX5080,4096.0,6.0,112450608.33334719,112440388.66666657,77261280.16666667,,,,,ns
MatrixMultiplication,OpenACC,,32,NVIDIA RTX5080,8192.0,1.0,694478008.9997948,694289497.9999999,554032862.0,,,,,ns
MatrixMultiplication,OpenACC,,32,NVIDIA RTX5080,16384.0,1.0,19470636046.99997,19467971004.000008,18935766384.0,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,NVIDIA RTX5080,32.0,4135.0,708339.2159613047,227255.9209189843,114724.62007255139,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,NVIDIA RTX5080,64.0,4962.0,315768.4528416119,150408.002216848,70537.04151551794,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,NVIDIA RTX5080,128.0,5040.0,131700.55019839216,131690.5529761904,83487.78412698413,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,NVIDIA RTX5080,256.0,2524.0,272606.35974641447,272311.6561014265,150642.91600633913,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,NVIDIA RTX5080,512.0,519.0,1292678.3526012888,1292177.1156069355,843477.4566473989,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,NVIDIA RTX5080,1024.0,104.0,6612746.87499914,6607727.461538455,5144760.0,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,NVIDIA RTX5080,2048.0,16.0,43719107.31249784,43708728.68750009,37736944.0,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,NVIDIA RTX5080,4096.0,2.0,332941101.99994975,332875116.0000003,297935968.0,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,NVIDIA RTX5080,8192.0,1.0,2521574425.9999156,2521099902.9999995,2382481408.0,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,NVIDIA RTX5080,16384.0,1.0,19496910255.999866,19493900593.0,18953175040.0,,,,,ns
MatrixMultiplication,Alpaka,,32,NVIDIA RTX5080,32.0,3000.0,231486.45866664688,230598.79399999997,18353.023666666668,,,,,ns
MatrixMultiplication,Alpaka,,32,NVIDIA RTX5080,64.0,2863.0,244704.14984278684,244200.97135871463,30011.33740831296,,,,,ns
MatrixMultiplication,Alpaka,,32,NVIDIA RTX5080,128.0,2460.0,285104.8394310366,284466.4483739837,53687.45284552845,,,,,ns
MatrixMultiplication,Alpaka,,32,NVIDIA RTX5080,256.0,1858.0,380152.04305691976,379417.21474703983,101672.02529601722,,,,,ns
MatrixMultiplication,Alpaka,,32,NVIDIA RTX5080,512.0,470.0,1488628.7021270504,1487060.4851063825,774000.4276595744,,,,,ns
MatrixMultiplication,Alpaka,,32,NVIDIA RTX5080,1024.0,103.0,6723266.873786026,6719099.932038835,5131858.194174757,,,,,ns
MatrixMultiplication,Alpaka,,32,NVIDIA RTX5080,2048.0,16.0,43571580.06249051,43559800.93750001,38674894.1875,,,,,ns
MatrixMultiplication,Alpaka,,32,NVIDIA RTX5080,4096.0,2.0,344961375.99990106,344861347.5000002,313902909.0,,,,,ns
MatrixMultiplication,Alpaka,,32,NVIDIA RTX5080,8192.0,1.0,6476907899.000253,6476268730.000001,6354699270.0,,,,,ns
MatrixMultiplication,Alpaka,,32,NVIDIA RTX5080,16384.0,1.0,61810825226.00036,61801217165.99999,61334014264.0,,,,,ns
MatrixMultiplication,Boost,,32,NVIDIA RTX5080,32.0,3018.0,232854.37707090026,232316.4715043075,3552.3286944996685,,,,,ns
MatrixMultiplication,Boost,,32,NVIDIA RTX5080,64.0,2943.0,238644.19198104742,238012.86204553186,4919.7689432551815,,,,,ns
MatrixMultiplication,Boost,,32,NVIDIA RTX5080,128.0,2713.0,256249.4323626505,255761.19130114283,6124.030962034648,,,,,ns
MatrixMultiplication,Boost,,32,NVIDIA RTX5080,256.0,2246.0,311150.48397156975,310574.86553873535,17455.515583259126,,,,,ns
MatrixMultiplication,Boost,,32,NVIDIA RTX5080,512.0,858.0,802927.9184146954,801882.4125874119,84828.12121212122,,,,,ns
MatrixMultiplication,Boost,,32,NVIDIA RTX5080,1024.0,318.0,2188741.5283021852,2186345.2075471696,590962.0125786164,,,,,ns
MatrixMultiplication,Boost,,32,NVIDIA RTX5080,2048.0,72.0,9318515.694442593,9313971.972222243,4659579.555555556,,,,,ns
MatrixMultiplication,Boost,,32,NVIDIA RTX5080,4096.0,10.0,67579961.79999281,67576888.70000002,37010800.0,,,,,ns
MatrixMultiplication,Boost,,32,NVIDIA RTX5080,8192.0,2.0,444154151.5000154,444077189.49999976,321998864.0,,,,,ns
MatrixMultiplication,Boost,,32,NVIDIA RTX5080,16384.0,1.0,3018771501.9997087,3018315065.9999995,2540564320.0,,,,,ns
MatrixMultiplication,Cuda,Cublas,32,NVIDIA RTX5080,32.0,28118.0,24949.46560922056,24943.36396614268,8342.16144151145,,,,,ns
MatrixMultiplication,Cuda,Cublas,32,NVIDIA RTX5080,64.0,24236.0,28957.49834955619,28951.355751774216,7180.843049802352,,,,,ns
MatrixMultiplication,Cuda,Cublas,32,NVIDIA RTX5080,128.0,15168.0,45992.411326478126,45976.18136867089,6721.582269510461,,,,,ns
MatrixMultiplication,Cuda,Cublas,32,NVIDIA RTX5080,256.0,7750.0,86790.98051611471,86767.99006451614,8025.368767640283,,,,,ns
MatrixMultiplication,Cuda,Cublas,32,NVIDIA RTX5080,512.0,1236.0,562554.5542072571,561753.6949838189,23337.941758431083,,,,,ns
MatrixMultiplication,Cuda,Cublas,32,NVIDIA RTX5080,1024.0,198.0,3579847.0909081846,3577603.590909092,86772.04020998695,,,,,ns
MatrixMultiplication,Cuda,Cublas,32,NVIDIA RTX5080,2048.0,55.0,12650590.872726753,12645606.127272721,471171.4890870181,,,,,ns
MatrixMultiplication,Cuda,Cublas,32,NVIDIA RTX5080,4096.0,13.0,52935069.07691363,52855012.69230767,3497393.222955557,,,,,ns
MatrixMultiplication,Cuda,Cublas,32,NVIDIA RTX5080,8192.0,3.0,215918414.00004342,215846818.99999997,25899840.037027996,,,,,ns
MatrixMultiplication,Cuda,Cublas,32,NVIDIA RTX5080,16384.0,1.0,946268551.9997649,946096745.0000019,208894424.43847656,,,,,ns
MatrixMultiplication,Cuda,Naive,32,NVIDIA RTX5080,32.0,2949.0,237146.21397082828,236035.58528314682,4220.473378023184,,,,,ns
MatrixMultiplication,Cuda,Naive,32,NVIDIA RTX5080,64.0,2905.0,241777.14079176539,241233.164888124,6135.793452482933,,,,,ns
MatrixMultiplication,Cuda,Naive,32,NVIDIA RTX5080,128.0,2786.0,252346.25161513165,251823.0631730078,8173.541971184822,,,,,ns
MatrixMultiplication,Cuda,Naive,32,NVIDIA RTX5080,256.0,2207.0,315441.93928398,315023.2618939738,26872.764832302622,,,,,ns
MatrixMultiplication,Cuda,Naive,32,NVIDIA RTX5080,512.0,1092.0,622903.6071427689,622164.115384616,98306.60811683415,,,,,ns
MatrixMultiplication,Cuda,Naive,32,NVIDIA RTX5080,1024.0,380.0,1857296.7210526546,1855539.8210526314,658470.6508799603,,,,,ns
MatrixMultiplication,Cuda,Naive,32,NVIDIA RTX5080,2048.0,50.0,13811925.939999128,13808497.74000005,5069454.717636108,,,,,ns
MatrixMultiplication,Cuda,Naive,32,NVIDIA RTX5080,4096.0,10.0,72944814.80003014,72930850.09999985,40300156.78405762,,,,,ns
MatrixMultiplication,Cuda,Naive,32,NVIDIA RTX5080,8192.0,2.0,463640715.5001052,463550459.00000036,331897949.21875,,,,,ns
MatrixMultiplication,Cuda,Naive,32,NVIDIA RTX5080,16384.0,1.0,3186397415.000101,3185879827.999997,2668782226.5625,,,,,ns
MatrixMultiplication,Hip,Naive,32,NVIDIA RTX5080,32.0,2934.0,237552.54294476644,236600.48329925016,4261.933194664475,,,,,ns
MatrixMultiplication,Hip,Naive,32,NVIDIA RTX5080,64.0,2846.0,245636.162333045,244976.04989458888,6143.291630060297,,,,,ns
MatrixMultiplication,Hip,Naive,32,NVIDIA RTX5080,128.0,2761.0,256330.3390076322,255731.20427381387,8194.005045309874,,,,,ns
MatrixMultiplication,Hip,Naive,32,NVIDIA RTX5080,256.0,2155.0,325371.1619488972,324545.29141531326,26622.039906836166,,,,,ns
MatrixMultiplication,Hip,Naive,32,NVIDIA RTX5080,512.0,1069.0,644609.5837228672,643750.5126286249,98180.43023821793,,,,,ns
MatrixMultiplication,Hip,Naive,32,NVIDIA RTX5080,1024.0,251.0,2731987.7569726193,2731100.9243027894,654454.4388098546,,,,,ns
MatrixMultiplication,Hip,Naive,32,NVIDIA RTX5080,2048.0,51.0,13642062.176470563,13638376.549019609,5072437.922159831,,,,,ns
MatrixMultiplication,Hip,Naive,32,NVIDIA RTX5080,4096.0,10.0,73057945.8000193,73056761.70000002,40275206.37512207,,,,,ns
MatrixMultiplication,Hip,Naive,32,NVIDIA RTX5080,8192.0,2.0,469071706.0000225,468952367.0,331593246.45996094,,,,,ns
MatrixMultiplication,Hip,Naive,32,NVIDIA RTX5080,16384.0,1.0,3169818664.9996386,3169604693.0,2658995605.46875,,,,,ns
MatrixMultiplication,Kokkos,,32,NVIDIA RTX5080,32.0,16459.0,42237.986451184086,42237.73643599247,5936.396378880855,,,,,ns
MatrixMultiplication,Kokkos,,32,NVIDIA RTX5080,64.0,14133.0,49631.2588268464,49626.82409962502,6811.636665959103,,,,,ns
MatrixMultiplication,Kokkos,,32,NVIDIA RTX5080,128.0,10100.0,68982.33039604261,68980.84504950496,8477.899603960395,,,,,ns
MatrixMultiplication,Kokkos,,32,NVIDIA RTX5080,256.0,5953.0,118171.79959680278,118167.36804972275,19279.452544935328,,,,,ns
MatrixMultiplication,Kokkos,,32,NVIDIA RTX5080,512.0,678.0,1032070.427728503,1030079.4528023588,88769.17404129794,,,,,ns
MatrixMultiplication,Kokkos,,32,NVIDIA RTX5080,1024.0,185.0,3769111.097296224,3767319.529729732,596358.4810810811,,,,,ns
MatrixMultiplication,Kokkos,,32,NVIDIA RTX5080,2048.0,40.0,16893914.599995695,16891330.62500001,4667330.325,,,,,ns
