Benchmark Problem,Paradigm,Description,Precision,Hardware,Problem Size,Iterations,Wall Clock Time,CPU Time,Kernel Time,Neighbor Search Time,Position Update Time,Velocity Update Time,Force Update Time,Time Unit
MatrixMultiplication,OpenACC,,32,NVIDIA RTX4060,32.0,28495.0,24537.678715567028,24533.010352693454,24188.645060536935,,,,,ns
MatrixMultiplication,OpenACC,,32,NVIDIA RTX4060,64.0,23515.0,29107.571167328213,29101.387539868163,28251.265490112695,,,,,ns
MatrixMultiplication,OpenACC,,32,NVIDIA RTX4060,128.0,12418.0,56466.1453535619,56452.44459655341,52085.60090191657,,,,,ns
MatrixMultiplication,OpenACC,,32,NVIDIA RTX4060,256.0,4004.0,174930.17557436097,174920.76048951058,160578.98526473527,,,,,ns
MatrixMultiplication,OpenACC,,32,NVIDIA RTX4060,512.0,780.0,894751.3743584214,894500.4666666663,830197.4769230769,,,,,ns
MatrixMultiplication,OpenACC,,32,NVIDIA RTX4060,1024.0,102.0,6832732.745093095,6832398.735294122,4661768.490196078,,,,,ns
MatrixMultiplication,OpenACC,,32,NVIDIA RTX4060,2048.0,17.0,42281444.352952614,42263574.17647056,31766494.11764706,,,,,ns
MatrixMultiplication,OpenACC,,32,NVIDIA RTX4060,4096.0,1.0,1126521371.999843,1126062052.0,1085410590.0,,,,,ns
MatrixMultiplication,OpenACC,,32,NVIDIA RTX4060,8192.0,1.0,8775443651.000387,8773813096.000002,8600407399.0,,,,,ns
MatrixMultiplication,OpenACC,,32,NVIDIA RTX4060,16384.0,1.0,69147017159.99945,69103599785.99998,68453127930.0,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,NVIDIA RTX4060,32.0,10664.0,124913.4983120721,60713.49746811703,37868.765191297825,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,NVIDIA RTX4060,64.0,6828.0,212164.19595782293,101801.1753075571,63177.86057410662,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,NVIDIA RTX4060,128.0,4787.0,177748.96323375503,146462.68142886978,102803.74012951745,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,NVIDIA RTX4060,256.0,1397.0,542199.0493915377,471765.01216893387,364082.1875447387,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,NVIDIA RTX4060,512.0,264.0,3032092.833333705,2663361.0227272734,2309316.484848485,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,NVIDIA RTX4060,1024.0,34.0,21395398.264707956,20287757.029411744,16748334.05882353,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,NVIDIA RTX4060,2048.0,5.0,148910991.39999825,144970252.59999993,130506030.4,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,NVIDIA RTX4060,4096.0,1.0,1098910063.9999378,1083306926.0000005,1033079808.0,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,NVIDIA RTX4060,8192.0,1.0,8490822395.999885,8436189045.000003,8234826240.0,,,,,ns
MatrixMultiplication,AdaptiveCpp,Naive,32,NVIDIA RTX4060,16384.0,1.0,66847564522.99985,66584480451.99999,65834119168.0,,,,,ns
MatrixMultiplication,Alpaka,,32,NVIDIA RTX4060,32.0,7426.0,93491.2120926449,93471.20697549151,17441.490169674118,,,,,ns
MatrixMultiplication,Alpaka,,32,NVIDIA RTX4060,64.0,6350.0,109523.89874016555,109498.94047244094,29218.13433070866,,,,,ns
MatrixMultiplication,Alpaka,,32,NVIDIA RTX4060,128.0,4724.0,148720.53027094805,148663.816892464,53081.7933954276,,,,,ns
MatrixMultiplication,Alpaka,,32,NVIDIA RTX4060,256.0,1541.0,454150.7949384208,454048.12070084363,292204.7722258274,,,,,ns
MatrixMultiplication,Alpaka,,32,NVIDIA RTX4060,512.0,263.0,2657288.8859309973,2656779.3840304175,2101171.6653992394,,,,,ns
MatrixMultiplication,Alpaka,,32,NVIDIA RTX4060,1024.0,38.0,18405336.763162505,18400779.5526316,16611982.657894736,,,,,ns
MatrixMultiplication,Alpaka,,32,NVIDIA RTX4060,2048.0,5.0,138913711.60002562,138850909.8,131847018.6,,,,,ns
MatrixMultiplication,Alpaka,,32,NVIDIA RTX4060,4096.0,1.0,1150417188.0001194,1150080749.0000007,1104287484.0,,,,,ns
MatrixMultiplication,Alpaka,,32,NVIDIA RTX4060,8192.0,1.0,30786968709.99988,30773943294.0,30609023208.0,,,,,ns
MatrixMultiplication,Alpaka,,32,NVIDIA RTX4060,16384.0,1.0,235897533545.0,235637724384.0,235184195922.0,,,,,ns
MatrixMultiplication,Boost,,32,NVIDIA RTX4060,32.0,6625.0,105725.85071699819,105701.9408301887,3772.792754716981,,,,,ns
MatrixMultiplication,Boost,,32,NVIDIA RTX4060,64.0,6375.0,109380.20282350514,109349.43027450982,4338.336627450981,,,,,ns
MatrixMultiplication,Boost,,32,NVIDIA RTX4060,128.0,5575.0,125148.86080717006,125143.20143497764,8089.485201793722,,,,,ns
MatrixMultiplication,Boost,,32,NVIDIA RTX4060,256.0,3163.0,218627.73253246202,218541.18115712953,36733.67309516282,,,,,ns
MatrixMultiplication,Boost,,32,NVIDIA RTX4060,512.0,879.0,793992.2070534261,793941.0830489197,254041.62912400454,,,,,ns
MatrixMultiplication,Boost,,32,NVIDIA RTX4060,1024.0,196.0,3575971.2142853276,3575147.637755102,1972802.9387755103,,,,,ns
MatrixMultiplication,Boost,,32,NVIDIA RTX4060,2048.0,32.0,21814134.624996483,21774414.093750026,15687044.0,,,,,ns
MatrixMultiplication,Boost,,32,NVIDIA RTX4060,4096.0,4.0,188019462.49999446,188007624.75,143058120.0,,,,,ns
MatrixMultiplication,Boost,,32,NVIDIA RTX4060,8192.0,1.0,1359329760.000037,1358898162.000001,1186775040.0,,,,,ns
MatrixMultiplication,Boost,,32,NVIDIA RTX4060,16384.0,1.0,10099840949.000053,10096734193.000004,9400276992.0,,,,,ns
MatrixMultiplication,Cuda,Cublas,32,NVIDIA RTX4060,32.0,25108.0,27904.624103877333,27896.471124741118,7010.582241314878,,,,,ns
MatrixMultiplication,Cuda,Cublas,32,NVIDIA RTX4060,64.0,21484.0,32569.1194377172,32566.892943585925,7666.524710095351,,,,,ns
MatrixMultiplication,Cuda,Cublas,32,NVIDIA RTX4060,128.0,13904.0,50625.179444763446,50602.96634062141,5474.163421619388,,,,,ns
MatrixMultiplication,Cuda,Cublas,32,NVIDIA RTX4060,256.0,5390.0,130218.92615954486,130191.91595547307,12272.902413794913,,,,,ns
MatrixMultiplication,Cuda,Cublas,32,NVIDIA RTX4060,512.0,1317.0,526782.7995444726,526665.877752468,45296.20653574179,,,,,ns
MatrixMultiplication,Cuda,Cublas,32,NVIDIA RTX4060,1024.0,170.0,4115675.4235303467,4114752.441176475,243479.34109323166,,,,,ns
MatrixMultiplication,Cuda,Cublas,32,NVIDIA RTX4060,2048.0,38.0,18586486.44736748,18578091.473684225,1891273.2632536637,,,,,ns
MatrixMultiplication,Cuda,Cublas,32,NVIDIA RTX4060,4096.0,9.0,79635699.77778207,79613543.88888875,14302712.864345975,,,,,ns
MatrixMultiplication,Cuda,Cublas,32,NVIDIA RTX4060,8192.0,2.0,393395654.0000736,393355073.4999995,136693138.1225586,,,,,ns
MatrixMultiplication,Cuda,Cublas,32,NVIDIA RTX4060,16384.0,1.0,2086929030.9999542,2086484756.0000007,1055701660.15625,,,,,ns
MatrixMultiplication,Cuda,Naive,32,NVIDIA RTX4060,32.0,1156.0,606081.5735292736,605847.8330449832,5636.152293320397,,,,,ns
MatrixMultiplication,Cuda,Naive,32,NVIDIA RTX4060,64.0,1151.0,608670.6272805827,608345.4378801044,6501.3103354576615,,,,,ns
MatrixMultiplication,Cuda,Naive,32,NVIDIA RTX4060,128.0,1102.0,635791.009074492,635660.7785843922,9159.666327201845,,,,,ns
MatrixMultiplication,Cuda,Naive,32,NVIDIA RTX4060,256.0,977.0,717963.5179120906,717813.3674513826,45532.23331911659,,,,,ns
MatrixMultiplication,Cuda,Naive,32,NVIDIA RTX4060,512.0,587.0,1197364.8824532947,1197137.6848381578,282369.0897967584,,,,,ns
MatrixMultiplication,Cuda,Naive,32,NVIDIA RTX4060,1024.0,186.0,3773140.8602148904,3771220.6182795563,2110457.983068241,,,,,ns
MatrixMultiplication,Cuda,Naive,32,NVIDIA RTX4060,2048.0,25.0,27831064.839992903,27829639.03999999,16761778.030395508,,,,,ns
MatrixMultiplication,Cuda,Naive,32,NVIDIA RTX4060,4096.0,4.0,194995810.75001514,194960538.00000012,153286121.3684082,,,,,ns
MatrixMultiplication,Cuda,Naive,32,NVIDIA RTX4060,8192.0,1.0,1429139266.9999824,1428969533.0,1261791015.625,,,,,ns
MatrixMultiplication,Cuda,Naive,32,NVIDIA RTX4060,16384.0,1.0,10781648612.000027,10779727242.0,10130585937.5,,,,,ns
MatrixMultiplication,Kokkos,,32,NVIDIA RTX4060,32.0,14231.0,49224.29154662361,49215.713301946445,5447.83402431312,,,,,ns
MatrixMultiplication,Kokkos,,32,NVIDIA RTX4060,64.0,13329.0,52668.20211569037,52655.59689399054,6092.4540475654585,,,,,ns
MatrixMultiplication,Kokkos,,32,NVIDIA RTX4060,128.0,9028.0,75716.44483829814,75713.52148870178,10405.130150642446,,,,,ns
MatrixMultiplication,Kokkos,,32,NVIDIA RTX4060,256.0,4007.0,174760.45445471557,174730.31944097832,38759.12003993012,,,,,ns
MatrixMultiplication,Kokkos,,32,NVIDIA RTX4060,512.0,870.0,806295.8678159515,805972.8080459774,256679.44252873564,,,,,ns
MatrixMultiplication,Kokkos,,32,NVIDIA RTX4060,1024.0,117.0,5917686.854702016,5916551.81196581,1973438.1025641025,,,,,ns
MatrixMultiplication,Kokkos,,32,NVIDIA RTX4060,2048.0,21.0,32532777.952383183,32517101.428571418,15729710.61904762,,,,,ns
MatrixMultiplication,Kokkos,,32,NVIDIA RTX4060,4096.0,3.0,202759788.6666778,202743918.99999985,137013332.33333334,,,,,ns
MatrixMultiplication,Kokkos,,32,NVIDIA RTX4060,8192.0,1.0,1381364447.9998856,1379925278.0,1119381973.0,,,,,ns
MatrixMultiplication,Kokkos,,32,NVIDIA RTX4060,16384.0,1.0,9982663754.999975,9980583445.0,8938554698.0,,,,,ns
MatrixMultiplication,OpenCL,,32,NVIDIA RTX4060,32.0,8205.0,87780.79512493001,87761.28312004874,3954.3497867154174,,,,,ns
MatrixMultiplication,OpenCL,,32,NVIDIA RTX4060,64.0,8030.0,86850.85105854191,86824.58368617685,4324.618679950187,,,,,ns
MatrixMultiplication,OpenCL,,32,NVIDIA RTX4060,128.0,6565.0,106438.21188118315,106391.19055597867,8115.6435643564355,,,,,ns
MatrixMultiplication,OpenCL,,32,NVIDIA RTX4060,256.0,3473.0,202110.10048950106,202093.72530953065,36688.17045781745,,,,,ns
MatrixMultiplication,OpenCL,,32,NVIDIA RTX4060,512.0,819.0,840559.3711843692,840381.7814407812,253892.57142857142,,,,,ns
MatrixMultiplication,OpenCL,,32,NVIDIA RTX4060,1024.0,96.0,7080896.906250208,7077666.104166658,1964881.3333333333,,,,,ns
MatrixMultiplication,OpenCL,,32,NVIDIA RTX4060,2048.0,19.0,37140664.99999621,37138681.421052635,15627225.263157895,,,,,ns
MatrixMultiplication,OpenCL,,32,NVIDIA RTX4060,4096.0,3.0,229002853.00003514,228981007.33333313,142863637.33333334,,,,,ns
MatrixMultiplication,OpenCL,,32,NVIDIA RTX4060,8192.0,1.0,1518743510.9999115,1518102522.9999995,1177885696.0,,,,,ns
MatrixMultiplication,OpenCL,,32,NVIDIA RTX4060,16384.0,1.0,10709866510.999973,10705634575.999998,9390434304.0,,,,,ns
MatrixMultiplication,OpenMP,,32,NVIDIA RTX4060,32.0,22995.0,71904.75264187864,30487.84109589041,71163.22030876277,,,,,ns
MatrixMultiplication,OpenMP,,32,NVIDIA RTX4060,64.0,20623.0,68796.78043932139,33591.79944721913,67759.60379188285,,,,,ns
MatrixMultiplication,OpenMP,,32,NVIDIA RTX4060,128.0,15745.0,105409.71521117148,45191.74093362971,100670.76468720229,,,,,ns
MatrixMultiplication,OpenMP,,32,NVIDIA RTX4060,256.0,6892.0,295091.2469530018,102635.3055716773,275197.653801509,,,,,ns
MatrixMultiplication,OpenMP,,32,NVIDIA RTX4060,512.0,1846.0,1015446.1430119091,377363.0487540631,943258.8185265439,,,,,ns
MatrixMultiplication,OpenMP,,32,NVIDIA RTX4060,1024.0,181.0,7997018.281767997,3837934.099447511,5369229.276243094,,,,,ns
MatrixMultiplication,OpenMP,,32,NVIDIA RTX4060,2048.0,42.0,47434350.26190517,16656039.238095244,35610950.690476194,,,,,ns
MatrixMultiplication,OpenMP,,32,NVIDIA RTX4060,4096.0,10.0,380998555.79998803,72161166.00000006,331755109.3,,,,,ns
